,DMRT1,FGF9,RSPO1,DHH,CTNNB1,PGD2,WT1mKTS,SRY,DKK1,WNT4,CBX2,AMH,NR0B1,NR5A1,WT1pKTS,FOXL2,UGR,SOX9,GATA4
E37_5_927,0.0023925531057147,0.0188524721627844,2.2042273886762844,0.0007559984364435,2.7764191183017064,0.0081308139751004,2.194327164872892,0.0035038986377981,0.050068649730637,2.3239968288092,0.0002794009574045,0.0007173030107764,2.391573644989395,0.0033485927518626,0.2722856882863312,1.4523985653067302,0.0465008734487942,0.0166821325101713,2.306591508577008
E42_7_69,0.0228187416324734,0.0372794971695314,1.6942550889181989,0.0187628226875939,2.0551432829680616,0.0119801935674843,1.3142032811647513,0.096545823043418,0.0020635696534792,1.979664772250708,0.0413339457402563,0.0275177992208773,1.6096819660474524,0.0156287076813991,0.0113008187976114,1.6247242456077184,0.0005863366959143,0.0058644892143575,2.017152571089477
E20_7_209,1.7351003639755518,1.9803308798561543,0.0148483302815889,1.7539703025086628,0.004638182978777,2.127177676013782,1.9979784237155849,1.7350588403468428,2.1877271045687685,0.0350732253046119,0.0101004984975496,1.6048376018590784,0.0143283969852299,1.570298096038949,2.5883965912398907,0.0007223464345049,0.00702596505899,2.1901672292936807,2.0220111410633828
E70_2_163,1.1510486973202587,4.016314192612836e-05,1.3178344282018604,0.0102110112233917,0.5119920402151638,0.0093466523519708,1.6453074628931048,2.4618299170172806,1.260055509649644,1.4027461436596722,0.4617783416407626,0.1525455921170504,2.2890676081784807,0.7249821522012381,2.2779226097163825,0.0098068442874258,0.0109600802318456,0.2283391782476372,2.2877990946217053
E107_6_328,1.8905417527414208,1.9905708455867672,0.0080868923913033,1.289795826236189,0.0041850031682911,2.15162147690692,1.7992961290487022,2.415013368932991,1.500176053012549,0.0023466870183851,0.0098878506223696,1.2972776994629047,0.3337014383121205,2.0880070216410984,1.659946224504831,0.0011980190320013,0.0931930676233585,1.2464409962403336,1.6982089393232864
E131_7_61,0.009722082124392,0.048823259377848,2.021237963734744,0.0404907464921818,2.0759023938746632,0.0041539984832925,2.435335849364709,0.0184507547190282,0.0350806222007112,1.405157376174864,0.0009011823951576,0.0057928463540839,1.5039740596453053,0.0162079192363569,0.1694171553145216,2.0794009242881297,0.0077034886091353,0.0035870985791588,1.7503651989120628
E135_3_524,2.0531958131241432,0.1149014963861042,0.0190962771625863,0.0179029567799006,0.0189983765009292,0.0196393649479904,1.9246296439794284,2.088291229382748,1.9410098796809176,0.0489069099301062,0.0018500988743995,0.0252600574153612,2.1652802546577843,1.1271707799814366,2.329349974556828,0.0019696502375043,0.0075436348050868,1.4263845992382769,2.0366022108172217
E106_4_886,0.023802419670101,0.0506576449438653,1.3582920608365407,0.0152827045468818,2.027985747814587,0.0171648446795937,2.6857468898288266,0.0100080445883588,0.0002372877641594,2.464842358658993,0.0609271859427381,0.0159645260648804,1.9218603278508013,0.0157003931849051,0.0526113294739415,2.2759827509717168,0.0945335089806614,0.0237019735807021,2.2454256991924746
E49_7_93,1.6130587911440004,1.8053270846884344,0.0159001951292358,1.4872524064302053,0.0564394134064352,2.215491775625425,2.037329760193136,1.6757947512112563,2.2975787498798232,0.0096602175291397,0.0237786532836968,1.633302548585556,0.003270719862216,2.4609820611038105,1.921710047412404,0.0010724823963074,0.035919068747249,1.7900882930429798,1.6160179050829018
E37_7_85,0.0014532499893693,0.0019338604073484,2.4778880422127174,0.0081624754044438,2.0513449096172542,0.0565101233299701,1.7462985035628882,0.0039942132058538,0.0150595643962975,2.6220032218184377,0.0045490446875828,0.0215841820158262,2.702642782941106,0.0002505395808751,0.0030231184396532,1.957534681721972,0.0254191288595597,0.0017104963176273,1.7114487516387482
E37_5_687,0.0043153984710814,0.0004603150750531,1.470166091559864,0.0053947666313482,2.009906944178012,0.0067462501138478,1.7724744354125557,0.001925657629405,0.0198016753126807,2.7054144694728457,0.0124294576498135,0.002007593728721,1.817287905080992,0.0220529590901376,0.0845681874513748,1.6452500553893912,0.0159306608873807,0.0165817635407962,1.6797287176311186
E108_5_527,0.0007069946695282,0.039971576410725,2.1612104744414005,0.0942510244595393,2.3756989687807617,0.0007748016169743,1.8892597844605408,0.0462307983436875,0.0265027829909204,1.9332788813318105,0.0006440677857181,0.0341995708949055,1.6050625046319738,0.0076526672893202,0.0152020880961327,1.4561827169685533,0.0016239838570263,0.0898749556004336,2.211490911826706
E51_5_767,2.070812063072553,2.024287149456668,0.0047265246897768,1.3358538477939033,0.010506432269779,1.9472782908420785,1.9861268510559675,1.989036803365184,1.7258103892843106,0.0047536561210098,0.0033384380548496,2.0522438901851725,0.3184065469874148,1.549250978731714,2.1304709525912213,0.0297435174990881,0.0235211559483594,2.6969029796339763,2.202537570828296
E37_6_328,0.0446375843106607,0.0330340313505923,1.9487355606395416,0.0091786912845,1.6062507664535124,0.0531355498504887,2.018320969276976,0.0200364455174459,0.0102921476506966,2.0762739378513246,0.0038560319553005,0.0031293240788681,2.1827385236430583,0.012266001417951,0.1011240803090984,2.185502110653584,0.0041978229434922,0.0804624656765819,1.614025721912294
